txn_id,agent_id,user_id,merchant_id,category,day,label,txn_seq_num,amount,amount_zscore,category_seen_before,device_matches_primary,day_txn_count,amount_to_limit_ratio,agent_age_at_txn,token_scope_ok,within_spending_limit
T00000014,A00000,U00000,M0184,travel,9,legitimate_agent,15,858.51,0.6885812325076216,1,1,3,0.171702,30,True,1
T00000015,A00000,U00000,M0154,travel,9,legitimate_agent,16,876.03,0.7761946008352584,1,1,4,0.175206,32,True,1
T00000016,A00000,U00000,M0144,entertainment,10,intent_drift,17,1044.22,1.9107402283450887,0,1,1,0.208844,34,False,1
T00000017,A00000,U00000,M0137,groceries,10,legitimate_agent,18,688.87,-0.6319984754321923,1,1,2,0.137774,36,True,1
T00000018,A00000,U00000,M0162,travel,10,legitimate_agent,19,824.16,0.28686515861415474,1,1,3,0.164832,38,True,1
T00000019,A00000,U00000,M0064,travel,10,legitimate_agent,20,1107.11,2.200695862923548,1,1,4,0.22142199999999998,40,True,1
T00000020,A00000,U00000,M0132,groceries,11,legitimate_agent,21,649.81,-0.9307707529157708,1,1,1,0.129962,42,True,1
T00000021,A00000,U00000,M0058,fashion,11,compromised_agent,22,5897.83,31.933554383285927,0,1,2,1.179566,44,True,0
T00000022,A00000,U00000,M0019,travel,12,legitimate_agent,23,810.92,-0.19398637705587343,1,1,1,0.162184,46,True,1
T00000023,A00000,U00000,M0000,groceries,12,legitimate_agent,24,979.04,-0.03340841600558453,1,1,2,0.19580799999999998,48,True,1
T00000024,A00000,U00000,M0108,travel,12,legitimate_agent,25,825.09,-0.1791192809619548,1,1,3,0.165018,50,True,1
T00000025,A00000,U00000,M0116,groceries,12,legitimate_agent,26,697.56,-0.2993231532654151,1,1,4,0.139512,52,True,1
T00000026,A00000,U00000,M0143,travel,13,legitimate_agent,27,529.84,-0.4590778523855301,1,1,1,0.105968,54,True,1
T00000027,A00000,U00000,M0169,groceries,13,legitimate_agent,28,1141.94,0.1657907894877052,1,1,2,0.228388,56,True,1
T00000028,A00000,U00000,M0163,travel,13,legitimate_agent,29,2807.44,1.8666819163742498,1,1,3,0.561488,58,True,1
T00000029,A00000,U00000,M0000,groceries,14,legitimate_agent,30,763.79,-0.2769379747355836,1,1,1,0.152758,60,True,1
T00000030,A00000,U00000,M0081,travel,15,legitimate_agent,31,1009.81,-0.0264448074302915,1,1,1,0.201962,62,True,1
T00000031,A00000,U00000,M0069,travel,16,legitimate_agent,32,1044.66,0.009361731882329633,1,1,1,0.208932,64,True,1
T00000032,A00000,U00000,M0044,groceries,16,legitimate_agent,33,890.63,-0.14978599461911368,1,1,2,0.178126,66,True,1
T00000033,A00000,U00000,M0090,travel,16,legitimate_agent,34,798.93,-0.24366217715146798,1,1,3,0.15978599999999998,68,True,1
T00000034,A00000,U00000,M0149,groceries,16,legitimate_agent,35,1210.54,0.19790280992207715,1,1,4,0.242108,70,True,1
T00000035,A00000,U00000,M0068,groceries,17,legitimate_agent,36,505.5,-0.5657978765371735,1,1,1,0.1011,72,True,1
T00000036,A00000,U00000,M0126,groceries,17,legitimate_agent,37,576.68,-0.47799588832629475,1,1,2,0.115336,74,True,1
T00000037,A00000,U00000,M0046,travel,17,legitimate_agent,38,848.62,-0.170541644475955,1,1,3,0.169724,76,True,1
T00000038,A00000,U00000,M0169,groceries,17,legitimate_agent,39,902.63,-0.10796901333240928,1,1,4,0.180526,78,True,1
T00000039,A00000,U00000,M0006,groceries,18,legitimate_agent,40,809.41,-0.21206941717108035,1,1,1,0.161882,80,True,1
T00000040,A00000,U00000,M0004,travel,19,impersonated_agent,41,2048.31,1.2098995565763355,1,1,1,0.40966199999999997,82,True,1
T00000041,A00000,U00000,M0162,travel,19,legitimate_agent,42,744.77,-0.3112480855812265,1,1,2,0.148954,84,True,1
T00000042,A00000,U00000,M0009,groceries,20,legitimate_agent,43,836.41,-0.20165360989199715,1,1,1,0.167282,86,True,1
T00000043,A00000,U00000,M0093,travel,20,legitimate_agent,44,600.22,-0.4745787604776507,1,1,2,0.12004400000000001,88,True,1
T00000044,A00000,U00000,M0149,groceries,20,legitimate_agent,45,330.09,-0.7858390594119093,1,1,3,0.066018,90,True,1
T00000045,A00000,U00000,M0146,groceries,22,legitimate_agent,46,676.15,-0.36290691984713763,1,1,1,0.13523,92,True,1
T00000046,A00000,U00000,M0116,groceries,23,legitimate_agent,47,715.04,-0.3120956097067658,1,1,1,0.143008,94,True,1
T00000047,A00000,U00000,M0035,groceries,23,legitimate_agent,48,546.59,-0.5115291605790326,1,1,2,0.10931800000000001,96,True,1
T00000048,A00000,U00000,M0032,groceries,24,legitimate_agent,49,776.8,-0.22519960212593607,1,1,1,0.15536,98,True,1
T00000049,A00000,U00000,M0086,groceries,24,legitimate_agent,50,820.71,-0.1689378574434091,1,1,2,0.164142,100,True,1
T00000050,A00000,U00000,M0033,subscriptions,25,compromised_agent,51,2615.91,2.0578704885214103,0,1,1,0.5231819999999999,102,True,1
T00000051,A00000,U00000,M0069,travel,25,legitimate_agent,52,917.59,-0.08486278923853502,1,1,2,0.18351800000000001,104,True,1
T00000052,A00000,U00000,M0026,travel,25,legitimate_agent,53,779.17,-0.2520998897757502,1,1,3,0.155834,106,True,1
T00000053,A00000,U00000,M0035,groceries,25,legitimate_agent,54,497.25,-0.59499299135461,1,1,4,0.09945,108,True,1
T00000054,A00000,U00000,M0006,groceries,27,legitimate_agent,55,892.84,-0.09994196828955425,1,1,1,0.178568,110,True,1
T00000055,A00000,U00000,M0054,travel,28,legitimate_agent,56,801.54,-0.21263289032684662,1,1,1,0.160308,112,True,1
T00000056,A00000,U00000,M0116,groceries,28,legitimate_agent,57,737.44,-0.29112954414171627,1,1,2,0.147488,114,True,1
T00000057,A00000,U00000,M0103,groceries,28,legitimate_agent,58,849.48,-0.14659924859397777,1,1,3,0.169896,116,True,1
T00000058,A00000,U00000,M0146,groceries,28,credential_testing,59,33.13,-1.1874495986599074,1,1,4,0.006626000000000001,118,True,1
T00000059,A00000,U00000,M0137,groceries,28,credential_testing,60,47.23,-1.1455169137064065,1,1,5,0.009446,120,True,1
T00000060,A00000,U00000,M0195,groceries,28,credential_testing,61,34.39,-1.1399603526309043,1,1,6,0.006878,122,True,1
T00000061,A00000,U00000,M0029,travel,28,credential_testing,62,17.29,-1.1403354379080641,1,1,7,0.0034579999999999997,124,True,1
T00000062,A00000,U00000,M0154,travel,28,credential_testing,63,49.2,-1.0790673942511237,1,1,8,0.00984,126,True,1
T00000063,A00000,U00000,M0086,groceries,28,legitimate_agent,64,817.04,-0.09174523435819755,1,1,9,0.163408,128,True,1
T00000064,A00000,U00000,M0169,groceries,28,legitimate_agent,65,923.87,0.04485280698288081,1,1,10,0.184774,130,True,1
T00000065,A00000,U00000,M0108,travel,28,legitimate_agent,66,1247.97,0.46000686893822745,1,1,11,0.249594,132,True,1
T00000066,A00000,U00000,M0120,travel,29,legitimate_agent,67,533.18,-0.46616989101525025,1,1,1,0.106636,134,True,1
T00000067,A00000,U00000,M0123,travel,29,legitimate_agent,68,864.51,-0.03202850966468525,1,1,2,0.172902,136,True,1
T00000068,A00000,U00000,M0116,groceries,29,legitimate_agent,69,1266.32,0.49353481133412136,1,1,3,0.253264,138,True,1
T00000069,A00000,U00000,M0195,groceries,29,legitimate_agent,70,641.42,-0.3324812029701377,1,1,4,0.12828399999999998,140,True,1
T00000070,A00001,U00001,M0043,food_delivery,1,legitimate_agent,1,1045.25,0.0,0,1,1,0.20905,2,True,1
T00000071,A00001,U00001,M0038,food_delivery,1,legitimate_agent,2,747.33,-297.91999999999996,1,1,2,0.14946600000000002,4,True,1
T00000072,A00001,U00001,M0016,subscriptions,1,impersonated_agent,3,1763.94,4.1186976281989,0,1,3,0.352788,6,True,1
T00000073,A00001,U00001,M0135,food_delivery,2,legitimate_agent,4,1285.26,0.19087294145300154,1,1,1,0.257052,8,True,1
T00000074,A00001,U00001,M0112,subscriptions,3,legitimate_agent,5,937.84,-0.6345265147920082,1,1,1,0.187568,10,True,1
T00000075,A00001,U00001,M0056,subscriptions,3,legitimate_agent,6,646.0,-1.302402175324296,1,1,2,0.1292,12,True,1
T00000076,A00001,U00001,M0028,subscriptions,3,legitimate_agent,7,816.8,-0.62380837615323,1,1,3,0.16335999999999998,14,True,1
T00000077,A00001,U00001,M0138,food_delivery,4,legitimate_agent,8,1175.86,0.36768341883638866,1,1,1,0.235172,16,True,1
T00000078,A00001,U00001,M0198,food_delivery,5,legitimate_agent,9,1006.43,-0.12769446985211744,1,1,1,0.201286,18,True,1
T00000079,A00001,U00001,M0010,subscriptions,5,legitimate_agent,10,1173.27,0.37495435976556507,1,1,2,0.234654,20,True,1
T00000080,A00001,U00001,M0133,subscriptions,6,legitimate_agent,11,866.94,-0.6035850914979562,1,1,1,0.17338800000000001,22,True,1
T00000081,A00001,U00001,M0125,subscriptions,7,legitimate_agent,12,995.59,-0.1512240131510157,1,1,1,0.19911800000000002,24,True,1
T00000082,A00001,U00001,M0052,food_delivery,7,legitimate_agent,13,1026.13,-0.041568290191204824,1,1,2,0.20522600000000002,26,True,1
T00000083,A00001,U00001,M0168,food_delivery,9,legitimate_agent,14,996.98,-0.14341561237342346,1,1,1,0.199396,28,True,1
T00000084,A00001,U00001,M0138,food_delivery,9,legitimate_agent,15,595.45,-1.618937639651326,1,1,2,0.11909000000000002,30,True,1
T00000085,A00001,U00001,M0021,food_delivery,9,legitimate_agent,16,1051.02,0.16058447891924071,1,1,3,0.210204,32,True,1
T00000086,A00001,U00001,M0067,food_delivery,9,legitimate_agent,17,643.88,-1.322307280968502,1,1,4,0.128776,34,True,1
T00000087,A00001,U00001,M0076,food_delivery,10,legitimate_agent,18,894.52,-0.3280936911874829,1,1,1,0.178904,36,True,1
T00000088,A00001,U00001,M0020,subscriptions,13,legitimate_agent,19,903.39,-0.285954860659176,1,1,1,0.180678,38,True,1
T00000089,A00001,U00001,M0067,food_delivery,13,legitimate_agent,20,812.67,-0.6187363705966931,1,1,2,0.16253399999999998,40,True,1
T00000090,A00001,U00001,M0198,food_delivery,14,legitimate_agent,21,741.47,-0.8698109072090514,1,1,1,0.148294,42,True,1
T00000091,A00001,U00001,M0016,subscriptions,14,legitimate_agent,22,879.84,-0.30207107829889174,1,1,2,0.175968,44,True,1
T00000092,A00001,U00001,M0135,food_delivery,14,legitimate_agent,23,894.29,-0.23799658016825592,1,1,3,0.178858,46,True,1
T00000093,A00001,U00001,M0112,subscriptions,15,legitimate_agent,24,920.79,-0.12618224770615635,1,1,1,0.184158,48,True,1
T00000094,A00001,U00001,M0157,subscriptions,15,legitimate_agent,25,853.23,-0.4011823717711113,1,1,2,0.170646,50,True,1
T00000095,A00001,U00001,M0128,subscriptions,16,legitimate_agent,26,695.32,-1.0526456313286965,1,1,1,0.13906400000000002,52,True,1
T00000096,A00001,U00001,M0010,subscriptions,16,legitimate_agent,27,807.56,-0.5419472974387273,1,1,2,0.161512,54,True,1
T00000097,A00001,U00001,M0016,subscriptions,16,legitimate_agent,28,1166.4,0.9909644686274541,1,1,3,0.23328000000000002,56,True,1
T00000098,A00001,U00001,M0198,food_delivery,16,legitimate_agent,29,800.27,-0.5960861094930485,1,1,4,0.160054,58,True,1
T00000099,A00001,U00001,M0168,food_delivery,17,legitimate_agent,30,865.21,-0.30373312806427044,1,1,1,0.173042,60,True,1
T00000100,A00001,U00001,M0179,subscriptions,17,legitimate_agent,31,1004.38,0.30848160583458883,1,1,2,0.200876,62,True,1
T00000101,A00001,U00001,M0153,food_delivery,18,legitimate_agent,32,800.08,-0.6014342260970055,1,1,1,0.16001600000000002,64,True,1
T00000102,A00001,U00001,M0125,subscriptions,18,legitimate_agent,33,519.98,-1.8422530900335319,1,1,2,0.103996,66,True,1
T00000103,A00001,U00001,M0065,food_delivery,21,legitimate_agent,34,921.06,0.008070537934972342,1,1,1,0.184212,68,True,1
T00000104,A00001,U00001,M0168,food_delivery,22,legitimate_agent,35,854.38,-0.28475862047382583,1,1,1,0.170876,70,True,1
T00000105,A00001,U00001,M0196,food_delivery,22,legitimate_agent,36,800.18,-0.5216667396232197,1,1,2,0.16003599999999998,72,True,1
T00000106,A00001,U00001,M0016,subscriptions,23,legitimate_agent,37,595.8,-1.4318983769449471,1,1,1,0.11915999999999999,74,True,1
T00000107,A00001,U00001,M0198,food_delivery,24,legitimate_agent,38,1002.88,0.43193395365645193,1,1,1,0.200576,76,True,1
T00000108,A00001,U00001,M0052,food_delivery,25,legitimate_agent,39,3252.45,10.519202375948407,1,1,1,0.65049,78,True,1
T00000109,A00001,U00001,M0043,food_delivery,25,legitimate_agent,40,759.96,-0.4786565415994691,1,1,2,0.15199200000000002,80,True,1
T00000110,A00001,U00001,M0067,food_delivery,26,legitimate_agent,41,1142.75,0.41732512646172126,1,1,1,0.22855,82,True,1
T00000111,A00001,U00001,M0196,food_delivery,27,legitimate_agent,42,953.08,-0.033564898984190024,1,1,1,0.190616,84,True,1
T00000112,A00001,U00001,M0114,subscriptions,27,legitimate_agent,43,991.63,0.058395842040468306,1,1,2,0.198326,86,True,1
T00000113,A00001,U00001,M0110,food_delivery,28,legitimate_agent,44,831.06,-0.3282840890644183,1,1,1,0.166212,88,True,1
T00000114,A00001,U00001,M0112,subscriptions,29,legitimate_agent,45,898.82,-0.15959682211827478,1,1,1,0.179764,90,True,1
T00000115,A00002,U00002,M0061,fashion,0,legitimate_agent,1,2193.66,0.0,0,1,1,0.43873199999999996,2,True,1
T00000116,A00002,U00002,M0084,fashion,1,legitimate_agent,2,1700.54,-493.1199999999999,1,1,1,0.34010799999999997,4,True,1
T00000117,A00002,U00002,M0042,fashion,2,legitimate_agent,3,1491.09,-1.3077861911456747,1,1,1,0.298218,6,True,1
T00000118,A00002,U00002,M0161,fashion,2,legitimate_agent,4,1465.99,-0.9124026945950066,1,1,2,0.293198,8,True,1
T00000119,A00002,U00002,M0039,fashion,2,legitimate_agent,5,1338.35,-1.1099819452205235,1,1,3,0.26766999999999996,10,True,1
T00000120,A00002,U00002,M0063,entertainment,2,credential_testing,6,3.3,-4.853978131233535,0,1,4,0.00066,12,True,1
T00000121,A00002,U00002,M0039,fashion,2,credential_testing,7,9.06,-1.852636973194768,1,1,5,0.001812,14,True,1
T00000122,A00002,U00002,M0194,entertainment,2,credential_testing,8,11.54,-1.3772998157339047,1,1,6,0.0023079999999999997,16,True,1
T00000123,A00002,U00002,M0047,entertainment,2,credential_testing,9,37.21,-1.1229299316478112,1,1,7,0.007442,18,True,1
T00000124,A00002,U00002,M0080,entertainment,2,credential_testing,10,31.54,-0.9970908683425714,1,1,8,0.006308,20,True,1
T00000125,A00002,U00002,M0109,fashion,2,credential_testing,11,9.29,-0.9278843732750867,1,1,9,0.0018579999999999998,22,True,1
T00000126,A00002,U00002,M0063,entertainment,2,credential_testing,12,24.67,-0.8352298261483067,1,1,10,0.004934,24,True,1
T00000127,A00002,U00002,M0014,fashion,2,credential_testing,13,21.2,-0.7825329936325547,1,1,11,0.00424,26,True,1
T00000128,A00002,U00002,M0183,fashion,4,legitimate_agent,14,843.67,0.24005997374085494,1,1,1,0.168734,28,True,1
T00000129,A00002,U00002,M0061,fashion,5,legitimate_agent,15,1076.4,0.5182669885312928,1,1,1,0.21528000000000003,30,True,1
T00000130,A00002,U00002,M0084,fashion,5,legitimate_agent,16,766.51,0.10471328962830148,1,1,2,0.153302,32,True,1
T00000131,A00002,U00002,M0060,entertainment,5,legitimate_agent,17,1404.3,0.9374153089355916,1,1,3,0.28086,34,True,1
T00000132,A00002,U00002,M0155,fashion,6,legitimate_agent,18,996.25,0.3494079110177646,1,1,1,0.19925,36,True,1
T00000133,A00002,U00002,M0086,groceries,6,intent_drift,19,611.38,-0.18192991376424136,0,1,2,0.122276,38,False,1
T00000134,A00002,U00002,M0160,entertainment,11,legitimate_agent,20,698.99,-0.05529619112924118,1,1,1,0.139798,40,True,1
T00000135,A00002,U00002,M0180,entertainment,11,legitimate_agent,21,1407.87,0.9592437404336713,1,1,2,0.281574,42,True,1
T00000136,A00002,U00002,M0180,entertainment,12,legitimate_agent,22,1525.83,1.0855283707564105,1,1,1,0.305166,44,True,1
T00000137,A00002,U00002,M0144,entertainment,13,legitimate_agent,23,1290.99,0.6974146862732348,1,1,1,0.258198,46,True,1
T00000138,A00002,U00002,M0042,fashion,14,legitimate_agent,24,984.42,0.2316807381539288,1,1,1,0.196884,48,True,1
T00000139,A00002,U00002,M0047,entertainment,16,legitimate_agent,25,747.63,-0.12322435151353248,1,1,1,0.149526,50,True,1
T00000140,A00002,U00002,M0164,travel,16,intent_drift,26,900.51,0.10994276173061679,0,1,2,0.18010199999999998,52,False,1
T00000141,A00002,U00002,M0098,fashion,17,legitimate_agent,27,1257.38,0.6574712449115782,1,1,1,0.25147600000000003,54,True,1
T00000142,A00002,U00002,M0058,fashion,18,legitimate_agent,28,988.17,0.221014507170546,1,1,1,0.197634,56,True,1
T00000143,A00002,U00002,M0014,fashion,20,legitimate_agent,29,901.81,0.0800272667862745,1,1,1,0.180362,58,True,1
T00000144,A00002,U00002,M0061,fashion,20,legitimate_agent,30,1198.62,0.557966422632367,1,1,2,0.23972399999999996,60,True,1
T00000145,A00002,U00002,M0176,fashion,21,legitimate_agent,31,1494.59,1.029788299962939,1,1,1,0.29891799999999996,62,True,1
T00000146,A00002,U00002,M0042,fashion,22,legitimate_agent,32,1432.19,0.8941775088004503,1,1,1,0.286438,64,True,1
T00000147,A00002,U00002,M0180,entertainment,22,legitimate_agent,33,1480.86,0.9492145331873089,1,1,2,0.296172,66,True,1
T00000148,A00002,U00002,M0039,fashion,22,legitimate_agent,34,1411.18,0.8077789582419308,1,1,3,0.282236,68,True,1
T00000149,A00002,U00002,M0012,fashion,23,legitimate_agent,35,1090.69,0.2588563160754152,1,1,1,0.218138,70,True,1
T00000150,A00002,U00002,M0178,entertainment,23,legitimate_agent,36,5327.83,7.354455296014467,1,1,2,1.065566,72,True,0
T00000151,A00002,U00002,M0060,entertainment,23,legitimate_agent,37,1874.12,0.8668073578679237,1,1,3,0.374824,74,True,1
T00000152,A00002,U00002,M0191,fashion,24,legitimate_agent,38,1385.63,0.3242145224751253,1,1,1,0.27712600000000004,76,True,1
T00000153,A00002,U00002,M0048,fashion,25,legitimate_agent,39,1260.62,0.18426044608024678,1,1,1,0.25212399999999996,78,True,1
T00000154,A00002,U00002,M0011,entertainment,25,legitimate_agent,40,1085.31,-0.010369002127333273,1,1,2,0.21706199999999998,80,True,1
T00000155,A00002,U00002,M0194,entertainment,25,credential_testing,41,35.45,-1.1764974892303537,1,1,3,0.007090000000000001,82,True,1
T00000156,A00002,U00002,M0039,fashion,25,credential_testing,42,25.59,-1.15371352858222,1,1,4,0.005118,84,True,1
T00000157,A00002,U00002,M0059,fashion,25,credential_testing,43,15.9,-1.1328334362644998,1,1,5,0.00318,86,True,1
T00000158,A00002,U00002,M0047,entertainment,25,credential_testing,44,33.27,-1.0840801633570054,1,1,6,0.006654,88,True,1
T00000159,A00002,U00002,M0180,entertainment,25,credential_testing,45,42.16,-1.0478663841529805,1,1,7,0.008431999999999999,90,True,1
T00000160,A00002,U00002,M0002,fashion,26,legitimate_agent,46,1168.57,0.21070699653108263,1,1,1,0.23371399999999998,92,True,1
T00000161,A00002,U00002,M0014,fashion,27,legitimate_agent,47,632.9,-0.3850279508335984,1,1,1,0.12658,94,True,1
T00000162,A00002,U00002,M0176,fashion,27,legitimate_agent,48,1333.86,0.4034087397578581,1,1,2,0.26677199999999995,96,True,1
T00000163,A00002,U00002,M0047,entertainment,28,legitimate_agent,49,1915.02,1.0543143384425175,1,1,1,0.383004,98,True,1
T00000164,A00002,U00002,M0060,entertainment,28,legitimate_agent,50,1313.27,0.3535093286521207,1,1,2,0.262654,100,True,1
T00000165,A00002,U00002,M0023,entertainment,28,legitimate_agent,51,1107.21,0.11519046836424184,1,1,3,0.221442,102,True,1
T00000166,A00003,U00003,M0033,subscriptions,4,legitimate_agent,1,1161.8,0.0,0,1,1,0.23235999999999998,2,True,1
T00000167,A00003,U00003,M0028,subscriptions,4,legitimate_agent,2,992.6,-169.19999999999993,1,1,2,0.19852,4,True,1
T00000168,A00003,U00003,M0115,subscriptions,4,legitimate_agent,3,789.05,-2.408425756488224,1,1,3,0.15780999999999998,6,True,1
T00000169,A00003,U00003,M0114,subscriptions,6,legitimate_agent,4,701.87,-1.4963678362115953,1,1,1,0.140374,8,True,1
T00000170,A00003,U00003,M0028,subscriptions,7,legitimate_agent,5,1133.86,1.0766211549621534,1,1,1,0.22677199999999997,10,True,1
T00000171,A00003,U00003,M0112,subscriptions,7,legitimate_agent,6,1011.76,0.2730587206117661,1,1,2,0.202352,12,True,1
T00000172,A00003,U00003,M0136,subscriptions,8,legitimate_agent,7,995.89,0.16648509485797777,1,1,1,0.199178,14,True,1
T00000173,A00003,U00003,M0114,subscriptions,8,legitimate_agent,8,806.98,-0.9624091612658154,1,1,2,0.161396,16,True,1
T00000174,A00003,U00003,M0125,subscriptions,9,legitimate_agent,9,901.0,-0.289448634738405,1,1,1,0.1802,18,True,1
T00000175,A00003,U00003,M0130,subscriptions,12,legitimate_agent,10,1067.93,0.7918183445904634,1,1,1,0.21358600000000003,20,True,1
T00000176,A00003,U00003,M0157,subscriptions,18,impersonated_agent,11,1542.51,3.8356091615368597,1,1,1,0.308502,22,True,1
T00000177,A00003,U00003,M0056,subscriptions,20,legitimate_agent,12,737.14,-1.191619735389949,1,1,1,0.147428,24,True,1
T00000178,A00003,U00003,M0131,subscriptions,23,legitimate_agent,13,864.65,-0.5273985983084338,1,1,1,0.17293,26,True,1
T00000179,A00003,U00003,M0033,subscriptions,26,legitimate_agent,14,1212.01,1.0450147978704205,1,1,1,0.242402,28,True,1
T00000180,A00003,U00003,M0056,subscriptions,28,legitimate_agent,15,1151.71,0.7013258544329062,1,1,1,0.23034200000000002,30,True,1
T00000181,A00003,U00003,M0114,subscriptions,29,legitimate_agent,16,1147.12,0.6467487722314954,1,1,1,0.229424,32,True,1
T00000182,A00003,U00003,M0112,subscriptions,29,legitimate_agent,17,553.05,-2.135471123164495,1,1,2,0.11060999999999999,34,True,1
T00000183,A00004,U00004,M0013,utilities,0,legitimate_agent,1,906.25,0.0,0,1,1,0.18125,2,True,1
T00000184,A00004,U00004,M0105,utilities,1,legitimate_agent,2,1500.01,593.76,1,1,1,0.300002,4,True,1
T00000185,A00004,U00004,M0106,utilities,5,legitimate_agent,3,776.11,-1.0170733552353801,1,1,1,0.155222,6,True,1
T00000186,A00004,U00004,M0037,utilities,7,legitimate_agent,4,1099.11,0.0993000197422072,1,1,1,0.219822,8,True,1
T00000187,A00004,U00004,M0100,utilities,7,legitimate_agent,5,1997.32,2.9364615019684113,1,1,2,0.399464,10,True,1
T00000188,A00004,U00004,M0134,utilities,7,legitimate_agent,6,1115.53,-0.2823968411733327,1,1,3,0.223106,12,True,1
T00000189,A00004,U00004,M0111,utilities,8,impersonated_agent,7,5295.4,9.07285350776058,1,1,1,1.05908,14,True,0
T00000190,A00004,U00004,M0015,utilities,9,legitimate_agent,8,1285.88,-0.3315840796709109,1,1,1,0.257176,16,True,1
T00000191,A00004,U00004,M0088,utilities,13,legitimate_agent,9,1339.95,-0.2744408023342286,1,1,1,0.26799,18,True,1
T00000192,A00004,U00004,M0050,utilities,14,legitimate_agent,10,921.96,-0.5594327054837251,1,1,1,0.184392,20,True,1
T00000193,A00004,U00004,M0089,utilities,15,legitimate_agent,11,1690.97,0.05027242902293258,1,1,1,0.338194,22,True,1
T00000194,A00004,U00004,M0159,utilities,16,legitimate_agent,12,1895.56,0.20943762185907927,1,1,1,0.379112,24,True,1
T00000195,A00004,U00004,M0001,utilities,19,legitimate_agent,13,1452.71,-0.164432310472945,1,1,1,0.290542,26,True,1
T00000196,A00004,U00004,M0092,utilities,19,legitimate_agent,14,1107.73,-0.4553069602031838,1,1,2,0.221546,28,True,1
T00000197,A00004,U00004,M0092,utilities,20,legitimate_agent,15,777.48,-0.7300980478724644,1,1,1,0.155496,30,True,1
T00000198,A00004,U00004,M0150,utilities,20,legitimate_agent,16,1431.46,-0.10199308783413354,1,1,2,0.286292,32,True,1
T00000199,A00004,U00004,M0124,utilities,20,legitimate_agent,17,1483.94,-0.04978355059477709,1,1,3,0.296788,34,True,1
T00000200,A00004,U00004,M0036,utilities,21,legitimate_agent,18,1310.75,-0.21591741495739078,1,1,1,0.26215,36,True,1
T00000201,A00004,U00004,M0127,utilities,22,legitimate_agent,19,1444.53,-0.0767023115582146,1,1,1,0.288906,38,True,1
T00000202,A00004,U00004,M0124,utilities,22,legitimate_agent,20,1795.98,0.2852714659220366,1,1,2,0.359196,40,True,1
T00000203,A00004,U00004,M0070,utilities,24,legitimate_agent,21,1462.95,-0.07192167413192176,1,1,1,0.29259,42,True,1
T00000204,A00004,U00004,M0001,utilities,27,legitimate_agent,22,1107.27,-0.45346924969954905,1,1,1,0.22145399999999998,44,True,1
T00000205,A00004,U00004,M0159,utilities,29,legitimate_agent,23,1488.95,-0.02206951349231064,1,1,1,0.29779,46,True,1
T00000206,A00004,U00004,M0001,utilities,29,legitimate_agent,24,1168.35,-0.3821043668884359,1,1,2,0.23367,48,True,1
T00000207,A00005,U00005,M0006,groceries,0,legitimate_agent,1,1078.99,0.0,0,1,1,0.215798,2,True,1
T00000208,A00005,U00005,M0103,groceries,0,legitimate_agent,2,1482.13,403.1400000000001,1,1,2,0.296426,4,True,1
T00000209,A00005,U00005,M0119,groceries,0,legitimate_agent,3,1526.09,0.8613182913366717,1,1,3,0.305218,6,True,1
T00000210,A00005,U00005,M0105,utilities,1,legitimate_agent,4,1225.8,-0.5543395890381134,0,1,1,0.24516,8,True,1
T00000211,A00005,U00005,M0013,utilities,1,legitimate_agent,5,1286.77,-0.1952279636154565,1,1,2,0.25735399999999997,10,True,1
